Month,Average,Gain,% Gain,Peak
8/1/2021,171,+3,+1.8%,241
7/1/2021,168,+23,+15.9%,288
6/1/2021,145,-92,-38.8%,225
5/1/2021,237,+66,+38.6%,494
4/1/2021,171,+27,+18.8%,263
3/1/2021,144,-5,-3.4%,316
2/1/2021,149,+26,+21.1%,254
1/1/2021,123,+3,+2.5%,243
12/1/2020,120,+5,+4.3%,209
11/1/2020,115,-,-,215
10/1/2020,115,-38,-24.8%,296
9/1/2020,153,-168,-52.3%,487
8/1/2020,321,+92,+40.2%,4043
7/1/2020,229,-43,-15.8%,2999
6/1/2020,272,+124,+83.8%,4679
5/1/2020,148,-105,-41.5%,553
4/1/2020,253,-112,-30.7%,856
3/1/2020,365,"-3,512",-90.6%,1536
1/1/2020,3877,"+3,676",+1828.9%,5407
12/1/2019,201,-116,-36.6%,438
11/1/2019,317,-203,-39%,3743
10/1/2019,520,-15,-2.8%,6045
9/1/2019,535,+55,+11.5%,6593
8/1/2019,480,-44,-8.4%,7163
7/1/2019,524,-46,-8.1%,6763
6/1/2019,570,-54,-8.7%,5499
5/1/2019,624,-41,-6.2%,7638
4/1/2019,665,-10,-1.5%,6860
3/1/2019,675,+28,+4.3%,12328
2/1/2019,647,-843,-56.6%,10386
1/1/2019,1490,-140,-8.6%,39121
12/1/2018,1630,-489,-23.1%,39695
11/1/2018,2119,-65,-3%,39359
10/1/2018,2184,+2,+0.1%,40188
9/1/2018,2182,"-2,432",-52.7%,33954
8/1/2018,4614,-408,-8.1%,40396
7/1/2018,5022,+520,+11.6%,43595
6/1/2018,4502,"-1,189",-20.9%,42755
5/1/2018,5691,-599,-9.5%,38575
4/1/2018,6290,"+1,098",+21.1%,45122
3/1/2018,5192,"-2,904",-35.9%,47102
2/1/2018,8096,"+2,434",+43%,47183
1/1/2018,5662,"+1,565",+38.2%,56182
12/1/2017,4097,+839,+25.8%,95403
11/1/2017,3258,+777,+31.3%,21781
10/1/2017,2481,"-2,327",-48.4%,23051
9/1/2017,4808,"+1,498",+45.3%,39063
8/1/2017,3310,+412,+14.2%,24166
7/1/2017,2898,+77,+2.7%,22774
6/1/2017,2821,+951,+50.9%,26315
5/1/2017,1870,-836,-30.9%,36598
4/1/2017,2706,-330,-10.9%,25517
3/1/2017,3036,-283,-8.5%,29495
2/1/2017,3319,+227,+7.3%,30910
1/1/2017,3092,-106,-3.3%,33019
12/1/2016,3198,-556,-14.8%,34347
11/1/2016,3754,"+1,716",+84.2%,31411
10/1/2016,2038,-,-,26505
